         2462365 function calls (2435072 primitive calls) in 2.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7461    0.001    0.000    0.001    0.000 inspect.py:2539(kind)
  232/224    0.001    0.000    0.008    0.000 typing.py:187(_subs_tvars)
        1    0.001    0.001    0.002    0.002 kernelbase.py:49(Kernel)
     5206    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
        1    0.001    0.001    0.001    0.001 version.py:42(_BaseVersion)
     4003    0.001    0.000    0.002    0.000 posixpath.py:41(_get_sep)
      604    0.001    0.000    0.003    0.000 version.py:236(__str__)
      890    0.001    0.000    0.002    0.000 genericpath.py:121(_splitext)
     1888    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     1037    0.001    0.000    0.056    0.000 inspect.py:2839(from_callable)
      955    0.001    0.000    0.018    0.000 re.py:203(sub)
      189    0.001    0.000    0.002    0.000 traitlets.py:742(setup_class)
        1    0.001    0.001    0.001    0.001 arc_generators.py:99(<dictcomp>)
     1670    0.001    0.000    0.007    0.000 re.py:188(match)
       33    0.001    0.000    0.005    0.000 {built-in method builtins.eval}
      830    0.001    0.000    0.002    0.000 decorator.py:170(<listcomp>)
     3488    0.001    0.000    0.002    0.000 inspect.py:72(isclass)
      890    0.001    0.000    0.003    0.000 posixpath.py:117(splitext)
     2037    0.001    0.000    0.002    0.000 typing.py:329(__hash__)
     1087    0.001    0.000    0.003    0.000 sre_compile.py:423(_simple)
     3861    0.001    0.000    0.003    0.000 utils.py:109(palette_name)
       55    0.001    0.000    0.002    0.000 traitlets.py:1371(<listcomp>)
        1    0.001    0.001    0.001    0.001 base.py:62(spmatrix)
    10001    0.001    0.000    0.001    0.000 data_structure.py:44(nodes)
      161    0.001    0.000    0.001    0.000 _decorators.py:289(__call__)
       37    0.001    0.000    0.002    0.000 textwrap.py:233(_wrap_chunks)
      281    0.001    0.000    0.005    0.000 function_base.py:460(add_newdoc)
      332    0.001    0.000    0.046    0.000 sre_compile.py:598(_code)
     5199    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2421    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      408    0.001    0.000    0.003    0.000 ntpath.py:61(isabs)
       72    0.001    0.000    0.012    0.000 __init__.py:1488(_preprocess_data)
     2689    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      443    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      412    0.001    0.000    0.002    0.000 artist.py:1357(aliased_name)
      446    0.001    0.000    0.017    0.000 __init__.py:2566(__init__)
     2994    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      338    0.001    0.000    0.002    0.000 sre_parse.py:224(__init__)
      374    0.001    0.000    0.010    0.000 typing.py:689(copy_with)
     1003    0.001    0.000    0.005    0.000 genericpath.py:39(isdir)
      261    0.001    0.000    0.008    0.000 abc.py:84(__new__)
       12    0.001    0.000    0.002    0.000 artist.py:1261(<listcomp>)
      444    0.001    0.000    0.069    0.000 __init__.py:2034(<listcomp>)
     1170    0.001    0.000    0.003    0.000 colors.py:123(_is_nth_color)
    10001    0.001    0.000    0.001    0.000 arc_generators.py:158(<genexpr>)
  382/316    0.001    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
       50    0.001    0.000    0.005    0.000 traceback.py:321(extract)
       43    0.001    0.000    0.002    0.000 enum.py:171(<setcomp>)
        1    0.001    0.001    0.001    0.001 _continuous_distns.py:4171(levy_stable_gen)
      981    0.001    0.000    0.001    0.000 __init__.py:2813(__getattr__)
      892    0.001    0.000    0.055    0.000 version.py:74(__init__)
     5343    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      408    0.001    0.000    0.001    0.000 ntpath.py:124(splitdrive)
      444    0.001    0.000    0.072    0.000 __init__.py:2028(_by_version)
     2022    0.001    0.000    0.001    0.000 decorator.py:214(<genexpr>)
      483    0.001    0.000    0.002    0.000 traitlets.py:651(tag)
      457    0.001    0.000    0.004    0.000 inspect.py:2853(replace)
     3945    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     2185    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      453    0.001    0.000    0.007    0.000 rcsetup.py:327(validate_color)
    10001    0.001    0.000    0.001    0.000 arc_generators.py:152(<genexpr>)
      343    0.001    0.000    0.009    0.000 typing.py:802(__getitem__)
      478    0.001    0.000    0.002    0.000 font_manager.py:889(_json_decode)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
      688    0.001    0.000    0.004    0.000 __init__.py:2388(yield_lines)
     4460    0.001    0.000    0.001    0.000 inspect.py:2531(default)
     2304    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
      408    0.001    0.000    0.004    0.000 __init__.py:1494(_validate_resource_path)
        1    0.001    0.001    0.144    0.144 _continuous_distns.py:6(<module>)
      316    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
     2392    0.001    0.000    0.003    0.000 version.py:47(__lt__)
      352    0.001    0.000    0.001    0.000 _util.py:299(<listcomp>)
    10001    0.001    0.000    0.001    0.000 arc_generators.py:164(<genexpr>)
      410    0.001    0.000    0.006    0.000 pyparsing.py:1423(copy)
        1    0.001    0.001    0.007    0.007 generic.py:151(NDFrame)
     3343    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.001    0.001    0.001    0.001 codata.py:1512(parse_constants_2018toXXXX)
     2414    0.001    0.000    0.003    0.000 version.py:53(__eq__)
     1027    0.001    0.000    0.001    0.000 inspect.py:80(ismethod)
       54    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       83    0.001    0.000    0.002    0.000 pyparsing.py:3870(__init__)
     1914    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:725(find_spec)
